,teams,place,date
0, Leverkusen,1,2022-07-31 23:14:40.180146
1, RB Leipzig,2,2022-07-31 23:14:40.180146
2, Hoffenheim,3,2022-07-31 23:14:40.180146
3, Wolfsburg,4,2022-07-31 23:14:40.180146
4, Stuttgart,5,2022-07-31 23:14:40.180146
5, Schalke,6,2022-07-31 23:14:40.180146
6, Bayern,7,2022-07-31 23:14:40.180146
7, M'gladbach,8,2022-07-31 23:14:40.180146
8, Mainz,9,2022-07-31 23:14:40.180146
9, Augsburg,10,2022-07-31 23:14:40.180146
10, K̦ln,11,2022-07-31 23:14:40.180146
11, Freiburg,12,2022-07-31 23:14:40.180146
12, Frankfurt,13,2022-07-31 23:14:40.180146
13, Dortmund,14,2022-07-31 23:14:40.180146
14, Bremen,15,2022-07-31 23:14:40.180146
15, VfL Bochum,16,2022-07-31 23:14:40.180146
16, Union Berlin,17,2022-07-31 23:14:40.180146
17, Hertha BSC,18,2022-07-31 23:14:40.180146
